Fire_Year,Smoke_Estimate
1963,5.890892788785836
1964,7.707583317634475
1965,32.84036488007682
1966,3.6574179546502097
1967,2.2106985619541906
1968,6.360036275890804
1969,13.113279455734844
1970,5.280280755593888
1971,46.660982130277006
1972,241.03030763384334
1973,2.945087390634498
1974,8.275536677074106
1975,1.9808153989811335
1976,51.763896148184735
1977,19.099246064404895
1978,1.1977263022280162
1979,4.119659378562334
1980,5.20631659757919
1981,10.52248529661669
1982,1.967164148271975
1983,12.248486303021588
1984,3.7604655428577822
1985,21.082294989462735
1986,14.56980856379472
1987,10.147480480644257
1988,276.2006371821583
1989,6.35323097424472
1990,4.550912291993584
1991,8.57776559904481
1992,75.25401339603756
1993,5.064947220504944
1994,47.796336381610644
1995,27.031941293871206
1996,121.39377127457566
1997,9.218357177730084
1998,27.411660453912788
1999,43.52462639756658
2000,93.55876440284128
2001,22.06372743965916
2002,152.65190872893805
2003,35.07738126079168
2004,33.584136622305266
2005,130.9358418498975
2006,117.1720490678931
2007,215.6170858716983
2008,26.452159592054404
2009,11.454883113601912
2010,114.30839731214469
2011,181.44694640587838
2012,246.57296803789785
2013,37.25015827800465
2014,32.3756904621824
2015,67.9131650333682
2016,57.17187240537287
2017,33.36939167319536
2018,119.03636555265759
2019,60.28124498045761
2020,109.76845424772236
